dataset,y_true,xgb_mean_prob,lr_mean_prob,cat_mean_prob,bias,ensemble_prob,selected_threshold,y_pred_threshold_opt
train,1,0.24640728831291198,0.39082846403617805,0.5711869766242597,0.14442117572326607,0.4366852858815816,0.29,1
train,0,0.25243336856365206,0.36442569669254765,0.5711780665336583,0.11199232812889559,0.4298852785149041,0.29,1
train,0,0.25812290608882904,0.3957900931749939,0.5653980745372473,0.13766718708616488,0.4384672129216603,0.29,1
train,0,0.14320777356624603,0.2701412973507076,0.30385007098561256,0.12693352378446154,0.2546573546952106,0.29,0
train,0,0.14446576833724975,0.025689342162245152,0.24989679324573316,-0.1187764261750046,0.15449390911165578,0.29,0
train,0,0.1445740282535553,0.06481637658876517,0.3186528382793348,-0.07975765166479014,0.1974732954420534,0.29,0
train,1,0.2681782394647598,0.7669025746656187,0.6355207714790754,0.4987243352008589,0.5881411519520483,0.29,1
train,0,0.14314111471176147,0.04249575658294644,0.21389280652500242,-0.10064535812881503,0.1433311219149473,0.29,0
train,0,0.2622292786836624,0.7657006158087885,0.6233106713258396,0.503471337125126,0.5808762130865928,0.29,1
train,1,0.2504741221666336,0.5660249472621901,0.5809175599920369,0.3155508250955565,0.49673291841724343,0.29,1
train,0,0.14554633796215058,0.07245798644426613,0.3415367492001913,-0.07308835151788445,0.2103227312996551,0.29,0
train,0,0.21179965138435364,0.5808440484177442,0.5518195173275695,0.36904439703339054,0.47904667433725456,0.29,1
train,0,0.14351631700992584,0.11406086971522483,0.2738613557864743,-0.02945544729470101,0.19257834299945378,0.29,0
train,0,0.21432494521141052,0.23707588766487797,0.5108354793245808,0.022750942453467454,0.35396567430733783,0.29,1
train,0,0.22461357116699218,0.3738825343863369,0.5314176431635829,0.1492689632193447,0.4083709081169537,0.29,1
train,0,0.14250178039073944,0.0622033029620613,0.2766021363328313,-0.08029847742867813,0.17736247874456607,0.29,0
train,0,0.26169384121894834,0.4658540899395969,0.5606145427793936,0.20416024872064858,0.4590717382851275,0.29,1
train,0,0.14250178039073944,0.08131220158911519,0.24957828684255334,-0.06118957880162425,0.17125161644975137,0.29,0
train,1,0.25822060704231264,0.40034207636296876,0.5611396695109567,0.1421214693206561,0.4380090259232945,0.29,1
train,0,0.14922647178173065,0.14985595145141173,0.3742215848251019,0.0006294796696810767,0.24999185773622776,0.29,0
train,1,0.25961180627346037,0.35723829298991044,0.5694560488150442,0.09762648671645008,0.42859846548028124,0.29,1
train,0,0.14536861479282379,0.2410592065234195,0.39909407045950407,0.09569059173059571,0.2886665416751933,0.29,0
train,0,0.14267597794532777,0.09565025830571366,0.2601215994478738,-0.047025719639614105,0.18048444380714732,0.29,0
train,0,0.22670822739601135,0.3663223790137904,0.5429449739929657,0.13961415161777904,0.4116662975346952,0.29,1
train,0,0.2515145629644394,0.35273875110310005,0.5574192069429322,0.10122418813866063,0.4198639682723798,0.29,1
train,0,0.26430885791778563,0.4644752646198221,0.590169456282196,0.20016640670203645,0.4724810023712869,0.29,1
train,0,0.25658275187015533,0.42982261357107754,0.5780399491056466,0.1732398617009222,0.4543766430158399,0.29,1
train,0,0.26169384121894834,0.4635358308691468,0.5803685760454554,0.20184198965019845,0.46717737114421026,0.29,1
train,0,0.2264534443616867,0.32181217147227364,0.5464151002157267,0.09535872711058693,0.39925411275203715,0.29,1
train,1,0.23733088970184327,0.7445383317568643,0.5610941457767151,0.5072074420550211,0.5404641902616572,0.29,1
train,0,0.24702752530574798,0.33792285762380697,0.5741864820383358,0.09089533231805899,0.4216511986617357,0.29,1
train,0,0.14351631700992584,0.10653196864515434,0.2637074723235562,-0.036984348364771505,0.185688225205688,0.29,0
train,0,0.2597431719303131,0.4197286200366068,0.5660537844966986,0.15998544810629373,0.4466270386793458,0.29,1
train,0,0.22457206547260283,0.29998366127592563,0.527397000310311,0.0754115958033228,0.38348280671116836,0.29,1
train,0,0.2412989467382431,0.38884551805205064,0.5515885912577506,0.14754657131380755,0.42607631459060985,0.29,1
train,0,0.21515889465808868,0.2491774624005056,0.5169575097110137,0.034018567742416905,0.3606825369746568,0.29,1
train,0,0.2041762351989746,0.1828010812612943,0.453916680978983,-0.021375153937680302,0.30912959767288783,0.29,1
train,0,0.25350953340530397,0.3960221432960231,0.5597445259957895,0.14251260989071912,0.4349022791453119,0.29,1
train,0,0.14621703028678895,0.04554258104660879,0.27687867030331914,-0.10067444924018015,0.1731766235891471,0.29,0
train,1,0.2552776485681534,0.7244362113840495,0.6373282855187071,0.4691585628158961,0.5725804939135508,0.29,1
train,0,0.1459686875343323,0.09062931093483062,0.37552525253279645,-0.055339376599501666,0.23129211595418583,0.29,0
train,0,0.14267597794532777,0.10011251726017362,0.248518094154624,-0.04256346068515415,0.1766915897490895,0.29,0
train,0,0.14745444059371948,0.1480781389966304,0.38168517768375676,0.000623698402910905,0.2523461791546048,0.29,0
train,0,0.14267597794532777,0.10749384612989114,0.24780611805748964,-0.035182131815436626,0.17867877176530883,0.29,0
train,1,0.23733088970184327,0.6052086876223265,0.6152886406096821,0.36787779792048325,0.5211711008832178,0.29,1
train,0,0.14772040843963624,0.13158199060545508,0.35931238061746185,-0.016138417834181157,0.2372576859078327,0.29,0
train,0,0.20420687794685363,0.2133007648865022,0.48347505125330503,0.009093886939648577,0.331875050495509,0.29,1
train,0,0.210165399312973,0.4239473070335369,0.494012234380289,0.21378190772056388,0.40381069700037975,0.29,1
train,0,0.21898076832294464,0.09420622762573246,0.51582289775931,-0.12477454069721218,0.312692838308973,0.29,1
train,0,0.14772040843963624,0.13902130568761548,0.37240152357109046,-0.008699102752020765,0.24543183150221287,0.29,0
train,0,0.26241253316402435,0.4072244462322415,0.5708244599852791,0.14481191306821717,0.445496474590074,0.29,1
train,0,0.14267597794532777,0.10782336475959114,0.24353301573609348,-0.034852613185736625,0.17687169077357967,0.29,0
train,0,0.2542783856391907,0.4012857678110972,0.5579180819882601,0.1470073821719065,0.43591494011747756,0.29,1
train,1,0.20732282400131224,0.20208445376544595,0.5084833177829208,-0.005238370235866291,0.34030005368909755,0.29,1
train,0,0.2552776485681534,0.37234749048897947,0.5661815884359307,0.11706984192082609,0.4308107485121846,0.29,1
train,0,0.14351631700992584,0.11167801251642831,0.26385418735277955,-0.03183830449349753,0.1873610765199542,0.29,0
train,1,0.1467236816883087,0.2911178734766188,0.47872222201508363,0.14439419178831012,0.340219948678393,0.29,1
train,0,0.24377533793449402,0.31519203306888216,0.5420469981468283,0.07141669513438814,0.39940311321044664,0.29,1
train,0,0.14552500247955322,0.0752490039561915,0.3400054959725448,-0.07027599852336172,0.21050487649655014,0.29,0
train,0,0.24552054405212403,0.38430309653005484,0.5474088201959011,0.1387825524779308,0.42380537055896533,0.29,1
train,0,0.1459686875343323,0.1304908054921331,0.3616861076269827,-0.015477882042199187,0.23755627244556665,0.29,0
train,0,0.1459686875343323,0.08961978407476134,0.3761148621388046,-0.05634890345957094,0.23124035369053061,0.29,0
train,0,0.1442655384540558,0.09672548111845693,0.32790752947976426,-0.047540057335598865,0.21150195011615386,0.29,0
train,0,0.23733088970184327,0.26329013945176244,0.5443497007691727,0.025959249749919172,0.38267068598069076,0.29,1
train,0,0.14924818575382232,0.19068631017205584,0.4131460437510988,0.041438124418233524,0.2801482318491953,0.29,0
train,0,0.14267597794532777,0.09604065863046443,0.2357784430928619,-0.04663531931486334,0.16972542396159962,0.29,0
train,0,0.1442655384540558,0.06818723706991271,0.3352400521056454,-0.07607830138414308,0.20586605959746634,0.29,0
train,0,0.24864789843559265,0.3212108744139816,0.5585011619456484,0.07256297597838895,0.4098104624104675,0.29,1
train,0,0.14250178039073944,0.0548877883541654,0.24422384145462653,-0.08761399203657404,0.16060509505674936,0.29,0
train,0,0.14692209362983705,0.10008843369827267,0.36280455514098653,-0.04683365993156438,0.2287900475253397,0.29,0
train,0,0.14502053260803222,0.06842585834359857,0.3293774942657955,-0.07659467426443364,0.20350184712761596,0.29,0
train,1,0.2604148119688034,0.5173182244790335,0.5999315415032221,0.25690341251023013,0.4924117642304864,0.29,1
train,0,0.14267597794532777,0.10433198304598879,0.2636687254687948,-0.038343994899338985,0.18478152284621996,0.29,0
train,1,0.25722031593322753,0.36018873935742723,0.557420060784437,0.1029684234241997,0.4235645135359313,0.29,1
train,0,0.15058892965316772,0.10679104335302256,0.35994683404852,-0.04379788630014517,0.23048869171694977,0.29,0
train,1,0.26227945983409884,0.4181796467133695,0.5707740472203309,0.15590018687927065,0.44886356780738934,0.29,1
train,0,0.1459686875343323,0.12752264387855164,0.3844737032104169,-0.018446043655780647,0.24681486811612832,0.29,0
